"","#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
"35",35,"Jordan","740,502","+655","9,541","+11","721,895","+879","9,066","540","71,913","927","7,429,181","721,475","10,297,205","Asia","14","1,079",1,64,1,"880"
"36",36,"Serbia","713,840","+162","6,924","+7","701,411","+601","5,505","28","82,007","795","4,220,000","484,803","8,704,570","Europe","12","1,257",2,19,0.8,"632"
"37",37,"Switzerland","698,369","+1,077","10,838","+6","659,808","+1,100","27,723","107","80,148","1,244","7,857,449","901,761","8,713,445","Europe","12","804",1,124,0.7,"3,182"
"38",38,"Austria","647,079","+279","10,640","+1","631,294","+352","5,145","146","71,467","1,175","45,570,994","5,033,145","9,054,179","Europe","14","851",0,31,0.1,"568"
"39",39,"Malaysia","622,086","+5,271","3,460","+82","534,357","+7,548","84,269","902","18,995","106","12,752,267","389,373","32,750,801","Asia","53","9,466",3,161,3,"2,573"
"40",40,"Nepal","591,494","+3,370","7,990","+92","497,960","+6,951","85,544","","19,968","270","3,155,064","106,510","29,622,327","Asia","50","3,707",9,114,3,"2,888"
"41",41,"UAE","585,039","+1,968","1,702","+3","564,509","+1,933","18,828","","58,496","170","51,923,942","5,191,713","10,001,312","Asia","17","5,876",0,197,0.3,"1,883"
"42",42,"Lebanon","541,628","+71","7,769","+6","524,500","+1,024","9,359","90","79,687","1,143","4,513,473","664,043","6,796,955","Asia","13","875",2,10,0.9,"1,377"
"43",43,"Morocco","521,530","+104","9,181","+3","509,277","+194","3,072","101","13,976","246","6,568,573","176,023","37,316,643","Africa","72","4,065",6,3,0.08,"82"
"44",44,"Saudi Arabia","458,707","+1,161","7,471","+15","441,860","+1,216","9,376","1,579","12,988","212","19,836,639","561,681","35,316,556","Asia","77","4,727",2,33,0.4,"265"
"45",45,"Ecuador","432,739","+386","20,814","+5","398,645","","13,280","489","24,187","1,163","1,447,041","80,879","17,891,477","South America","41","860",12,22,0.3,"742"
"46",46,"Bulgaria","419,473","","17,820","","386,099","","15,554","287","60,796","2,583","2,904,717","420,994","6,899,657","Europe","16","387",2,NA,NA,"2,254"
