"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
"38","Austria","647,322","+243","10,647","+7","631,869","+575","4,806","131","71,493","1,176","45,983,005","5,078,571","9,054,319","Europe","14","850",0,27,0.8,"531"
"39","Malaysia","627,652","+5,566","3,536","+76","541,319","+6,962","82,797","903","19,164","108","12,829,297","391,711","32,751,934","Asia","52","9,262",3,170,2,"2,528"
"40","Nepal","595,364","+3,870","8,098","+108","504,530","+6,570","82,736","","20,098","273","3,167,129","106,912","29,623,761","Asia","50","3,658",9,131,4,"2,793"
"41","UAE","585,039","","1,702","","564,509","","18,828","","58,494","170","51,923,942","5,191,543","10,001,639","Asia","17","5,876",0,NA,NA,"1,882"
"42","Lebanon","541,628","","7,769","","524,500","","9,359","90","79,688","1,143","4,513,473","664,051","6,796,872","Asia","13","875",2,NA,NA,"1,377"
"43","Morocco","521,530","","9,181","","509,277","","3,072","101","13,975","246","6,568,573","176,017","37,317,838","Africa","72","4,065",6,NA,NA,"82"
"44","Saudi Arabia","458,707","","7,471","","441,860","","9,376","1,579","12,988","212","19,836,639","561,657","35,318,038","Asia","77","4,727",2,NA,NA,"265"
"45","Ecuador","432,739","","20,814","","398,645","","13,280","489","24,186","1,163","1,447,041","80,875","17,892,210","South America","41","860",12,NA,NA,"742"
"46","Bulgaria","419,681","","17,854","","386,693","","15,134","277","60,828","2,588","2,918,130","422,947","6,899,515","Europe","16","386",2,NA,NA,"2,193"
"47","Greece","410,166","","12,301","","382,817","","15,048","392","39,532","1,186","9,812,468","945,738","10,375,456","Europe","25","843",1,NA,NA,"1,450"
"48","Belarus","400,422","","2,919","","392,744","","4,759","","42,389","309","6,438,423","681,573","9,446,420","Europe","24","3,236",1,NA,NA,"504"
"49","Kazakhstan","395,832","+768","4,096","+20","369,024","+1,739","22,712","221","20,849","216","11,575,012","609,667","18,985,784","Asia","48","4,635",2,40,1,"1,196"
"50","Slovakia","390,546","+95","12,423","+9","376,572","+122","1,551","55","71,501","2,274","2,869,093","525,272","5,462,111","Europe","14","440",2,17,2,"284"
"51","Bolivia","389,994","+2,832","15,082","+58","308,971","+2,152","65,941","200","32,991","1,276","1,563,016","132,222","11,821,174","South America","30","784",8,240,5,"5,578"
"52","Panama","382,851","","6,404","","368,653","","7,794","105","87,450","1,463","2,727,936","623,112","4,377,924","North America","11","684",2,NA,NA,"1,780"
"53","Paraguay","375,996","","10,005","","309,120","","56,871","587","52,120","1,387","1,358,072","188,253","7,214,090","South America","19","721",5,NA,NA,"7,883"
"54","Croatia","357,786","+178","8,096","+5","348,469","+195","1,221","51","87,658","1,984","2,054,032","503,243","4,081,592","Europe","11","504",2,44,1,"299"
"55","Tunisia","356,750","","13,027","","312,979","","30,744","424","29,894","1,092","1,519,696","127,344","11,933,790","Africa","33","916",8,NA,NA,"2,576"
"56","Georgia","350,428","+1,023","4,951","+17","335,029","+510","10,448","","88,003","1,243","5,187,667","1,302,775","3,982,013","Asia","11","804",1,257,4,"2,624"
"57","Azerbaijan","334,747","","4,945","","327,114","","2,688","","32,740","484","3,572,418","349,404","10,224,323","Asia","31","2,068",3,NA,NA,"263"
"58","Costa Rica","331,920","","4,228","","249,209","","78,483","509","64,608","823","1,291,655","251,419","5,137,456","North America","15","1,215",4,NA,NA,"15,277"
"59","Uruguay","318,783","","4,692","","279,387","","34,704","501","91,474","1,346","2,415,625","693,157","3,484,963","South America","11","743",1,NA,NA,"9,958"
"60","Kuwait","318,676","","1,798","","302,393","","14,485","153","73,609","415","2,682,924","619,711","4,329,315","Asia","14","2,408",2,NA,NA,"3,346"
"61","Palestine","310,233","+207","3,517","","302,147","+266","4,569","19","59,529","675","1,845,535","354,133","5,211,424","Asia","17","1,482",3,40,NA,"877"
"62","Dominican Republic","301,984","","3,655","","246,216","","52,113","462","27,580","334","1,590,765","145,286","10,949,233","North America","36","2,996",7,NA,NA,"4,760"
"63","Denmark","286,948","","2,520","","272,371","","12,057","19","49,378","434","59,154,699","10,179,370","5,811,234","Europe","20","2,306",0,NA,NA,"2,075"
"64","Lithuania","276,759","+215","4,317","+7","260,873","+964","11,569","118","103,010","1,607","3,507,748","1,305,593","2,686,708","Europe","10","622",1,80,3,"4,306"
"65","Ethiopia","273,024","","4,213","","246,883","","21,928","319","2,322","36","2,755,429","23,430","117,603,952","Africa","431","27,915",43,NA,NA,"186"
"66","Egypt","268,754","","15,399","","197,281","","56,074","90","2,581","148","2,869,589","27,558","104,127,388","Africa","387","6,762",36,NA,NA,"539"
"67","Ireland","264,826","","4,941","","247,362","","12,523","26","53,080","990","4,729,538","947,966","4,989,143","Europe","19","1,010",1,NA,NA,"2,510"
"68","Guatemala","262,255","","8,305","","239,804","","14,146","5","14,391","456","1,456,203","79,908","18,223,463","North America","69","2,194",13,NA,NA,"776"
"69","Slovenia","255,652","+220","4,391","+1","247,703","+322","3,558","51","122,957","2,112","1,304,349","627,331","2,079,205","Europe","8","474",2,106,0.5,"1,711"
"70","Moldova","255,501","","6,137","","248,062","","1,302","60","63,475","1,525","1,141,292","283,537","4,025,203","Europe","16","656",4,NA,NA,"323"
